"","politician","wiki_name","birthday","death_date","age","bio","military_service","personal_details"
"3024","Ed Perlmutter","Ed Perlmutter","1953-05-01",NA,NA,"Ed PerlmutterMember of the U.S. House of Representativesfrom Colorado's 7th districtIncumbentAssumed office January 3, 2007Preceded byBob BeauprezMember of the Colorado Senatefrom the 20th districtIn officeJanuary 1995<U+00A0><U+0096> January 2003Preceded byClaire TraylorSucceeded byMaryanne Keller",0,"BornEdwin George Perlmutter (1953-05-01) May 1, 1953 (age<U+00A0>66)Denver, Colorado, U.S.Political partyDemocraticSpouse(s)Deana Perlmutter(m.<U+00A0>1981; div.<U+00A0>2008)Nancy Henderson (m.<U+00A0>2010)Children3EducationUniversity of Colorado Boulder (BA, JD)"
"3025","Jared Polis","Jared Polis","1975-05-12",NA,NA,"Jared Polis43rd Governor of ColoradoIncumbentAssumed office January 8, 2019LieutenantDianne PrimaveraPreceded byJohn HickenlooperMember of the U.S. House of Representativesfrom Colorado's 2nd districtIn officeJanuary 3, 2009<U+00A0><U+0096> January 3, 2019Preceded byMark UdallSucceeded byJoe NeguseMember of the Colorado State Board of Educationfrom the at-large districtIn office2001<U+0096>2007Preceded byBen AlexanderSucceeded bySeat abolished",0,"BornJared Polis Schutz (1975-05-12) May 12, 1975 (age<U+00A0>44)Boulder, Colorado, U.S.Political partyDemocraticDomestic partnerMarlon ReisChildren2EducationPrinceton University (AB)Net worth$313.6 million (2015)[1]WebsiteGovernment website"
"3026","Betsy Markey","Betsy Markey","1956-04-27",NA,NA,"Betsy MarkeyU.S. Assistant Secretary of Homeland Security for Intergovernmental AffairsIn office2011<U+0096>2013PresidentBarack ObamaPreceded byJuliette KayyemSucceeded byPhilip A. McNamaraMember of the U.S. House of Representativesfrom Colorado's 4th districtIn officeJanuary 3, 2009<U+00A0><U+0096> January 3, 2011Preceded byMarilyn MusgraveSucceeded byCory Gardner",0,"BornElizabeth Helen Markey (1956-04-27) April 27, 1956 (age<U+00A0>63)Cresskill, New Jersey, U.S.Political partyDemocraticSpouse(s)Jim KellyResidenceFort Collins, Colorado, U.S.Alma materUniversity of Florida, American UniversityProfessionSmall business ownerWebsiteCongresswoman Betsy Markey"
"3027","Mike Coffman","Mike Coffman","1955-03-19",NA,NA,"Mike CoffmanMayor of Aurora, ColoradoIncumbentAssumed office December 2, 2019Preceded byBob LeGareMember of the U.S. House of Representativesfrom Colorado's 6th districtIn officeJanuary 3, 2009<U+00A0><U+0096> January 3, 2019Preceded byTom TancredoSucceeded byJason CrowSecretary of State of ColoradoIn officeJanuary 9, 2007<U+00A0><U+0096> January 3, 2009GovernorBill RitterPreceded byGigi DennisSucceeded byBernie BuescherTreasurer of ColoradoIn officeMarch 27, 2006<U+00A0><U+0096> January 9, 2007GovernorBill OwensPreceded byMark Hillman (Acting)Succeeded byCary KennedyIn officeJanuary 3, 1999<U+00A0><U+0096> June 9, 2005GovernorBill OwensPreceded byBill OwensSucceeded byMark Hillman (Acting)Member of the Colorado Senatefrom the 27th districtIn officeDecember 12, 1994<U+00A0><U+0096> January 3, 1999Preceded byBill OwensSucceeded byJohn AndrewsMember of the Colorado House of Representativesfrom the 40th districtIn officeJanuary 1993<U+00A0><U+0096> December 12, 1994Preceded byJeanne W. Adkins[1]Succeeded byGary McPherson[2]Member of the Colorado House of Representativesfrom the 49th districtIn officeJanuary 1989<U+00A0><U+0096> January 1993Preceded byBill Owens[3]Succeeded byWilliam H. Jerke[4]",1,"BornMichael Harold Coffman (1955-03-19) March 19, 1955 (age<U+00A0>64)Fort Leonard Wood, Missouri, U.S.Political partyRepublicanSpouse(s)Cynthia Coffman(m.<U+00A0>2005; div.<U+00A0>2017)EducationUniversity of Colorado, Boulder (BA)Military serviceAllegiance<U+00A0>United StatesBranch/service<U+00A0>United States Army
United States Army Reserve<U+00A0>United States Marine Corps

United States Marine Corps ReserveYears<U+00A0>of service1972<U+0096>1978 (Army)1979<U+0096>1994, 2005<U+0096>2006 (Marines)Rank MajorBattles/warsPersian Gulf WarIraq War"
"3028","Scott Tipton","Scott Tipton","1956-11-09",NA,NA,"Scott TiptonMember of the U.S. House of Representativesfrom Colorado's 3rd districtIncumbentAssumed office January 3, 2011Preceded byJohn SalazarMember of the Colorado House of Representativesfrom the 58th districtIn officeJanuary 9, 2009<U+00A0><U+0096> January 2, 2011Preceded byRay RoseSucceeded byDon Coram",0,"BornScott Randall Tipton[1] (1956-11-09) November 9, 1956 (age<U+00A0>63)Espa<f1>ola, New Mexico, U.S.Political partyRepublicanSpouse(s)Jean TiptonChildren2EducationFort Lewis College (BA)WebsiteHouse website"
"3029","Cory Gardner","Cory Gardner","1974-08-22",NA,NA,"Cory GardnerUnited States Senatorfrom ColoradoIncumbentAssumed office January 3, 2015Serving with Michael BennetPreceded byMark UdallChair of the National Republican Senatorial CommitteeIn officeJanuary 3, 2017<U+00A0><U+0096> January 3, 2019LeaderMitch McConnellPreceded byRoger WickerSucceeded byTodd YoungMember of the U.S. House of Representativesfrom Colorado's 4th districtIn officeJanuary 3, 2011<U+00A0><U+0096> January 3, 2015Preceded byBetsy MarkeySucceeded byKen BuckMember of the Colorado House of Representativesfrom the 63rd districtIn officeJune 23, 2005<U+00A0><U+0096> January 2, 2011Preceded byGreg BrophySucceeded byJon Becker",0,"BornCory Scott Gardner (1974-08-22) August 22, 1974 (age<U+00A0>45)Yuma, Colorado, U.S.Political partyRepublicanSpouse(s)Jaime GardnerChildren3EducationColorado State University (BA)University of Colorado Boulder (JD)WebsiteSenate website"
"3030","Joe Neguse","Joe Neguse","1984-05-13",NA,NA,"Joe NeguseMember of the U.S. House of Representativesfrom Colorado's 2nd districtIncumbentAssumed office January 3, 2019Preceded byJared Polis",0,"Born (1984-05-13) May 13, 1984 (age<U+00A0>35)Bakersfield, California, U.S.Political partyDemocraticEducationUniversity of Colorado Boulder (BA, JD)WebsiteHouse website"
"3031","Ken Buck","Ken Buck","1959-02-16",NA,NA,"Ken BuckMember of the U.S. House of Representativesfrom Colorado's 4th districtIncumbentAssumed office January 3, 2015Preceded byCory GardnerDistrict Attorney of Weld CountyIn office2004<U+0096>2014Preceded byAl Dominguez[1]Succeeded byMichael Rourke[2]",0,"BornKenneth Robert Buck (1959-02-16) February 16, 1959 (age<U+00A0>60)Ossining, New York, U.S.Political partyRepublicanSpouse(s)
Dayna Roane(m.<U+00A0>1984; div.<U+00A0>1994)[3]
Perry Buck(m.<U+00A0>1996; div.<U+00A0>2018)[4]Children2EducationPrinceton University (BA)University of Wyoming (JD)WebsiteHouse website"
"3032","Jason Crow","Jason Crow","1979-03-15",NA,NA,"Jason CrowMember of the U.S. House of Representativesfrom Colorado's 6th districtIncumbentAssumed office January 3, 2019Preceded byMike Coffman",1,"Born (1979-03-15) March 15, 1979 (age<U+00A0>40)Madison, Wisconsin, U.S.Political partyDemocraticSpouse(s)Deserai Anderson-UtleyChildren2EducationUniversity of Wisconsin, Madison (BA)University of Denver (JD)WebsiteHouse websiteMilitary serviceAllegiance<U+00A0>United StatesBranch/service<U+00A0>United States ArmyYears<U+00A0>of service2002<U+0096>2006Rank CaptainUnit82nd Airborne Division75th Ranger RegimentBattles/warsIraq WarWar in AfghanistanAwards Bronze Star"
"3033","Juanita Millender-McDonald","Juanita Millender-McDonald","1938-09-07"," 2007-04-22",NA,"Juanita Millender-McDonaldChair of the House Administration CommitteeIn officeJanuary 3, 2007<U+00A0><U+0096> April 22, 2007Preceded byVern EhlersSucceeded byBob BradyMember of the U.S. House of Representativesfrom California's 37th districtIn officeMarch 26, 1996<U+00A0><U+0096> April 22, 2007Preceded byWalter TuckerSucceeded byLaura Richardson",0,"BornJuanita Millender(1938-09-07)September 7, 1938Birmingham, Alabama, U.S.DiedApril 22, 2007(2007-04-22) (aged<U+00A0>68)Carson, California, U.S.Political partyDemocraticSpouse(s)James McDonaldChildren5EducationLos Angeles Harbor CollegeUniversity of Redlands (BA)California State University, Los Angeles (MA)University of Southern California (PhD)"
"3034","Clarence F. Lea","Clarence F. Lea","1874-07-11"," 1964-06-20",NA,"Clarence Frederick LeaLea in 1940Member of the U.S. House of Representativesfrom California's 1st districtIn officeMarch 4, 1917<U+00A0><U+0096> January 3, 1949Preceded byWilliam KentSucceeded byHubert Baxter Scudder",0,"Born(1874-07-11)July 11, 1874Highland Springs, CaliforniaDiedJune 20, 1964(1964-06-20) (aged<U+00A0>89)Santa Rosa, CaliforniaPolitical partyDemocraticEducationLakeport AcademyStanford University University of Denver"
"3035","John E. Raker","John E. Raker","1863-02-22"," 1926-01-22",NA,"John E. RakerMember of the U.S. House of Representativesfrom California's 1st districtIn officeMarch 4, 1911<U+00A0><U+0096> March 3, 1913Preceded byWilliam F. EnglebrightSucceeded byWilliam KentMember of the U.S. House of Representativesfrom California's 2nd districtIn officeMarch 4, 1913<U+00A0><U+0096> January 22, 1926Preceded byWilliam KentSucceeded byHarry Lane Englebright",0,"Born(1863-02-22)February 22, 1863Knox County, IllinoisDiedJanuary 22, 1926(1926-01-22) (aged<U+00A0>62)Washington, D.C.Political partyDemocraticOccupationlawyer"
"3036","Charles F. Curry","Charles F. Curry","1858-03-14"," 1930-10-10",NA,"Charles Forrest CurryMember of the U.S. House of Representativesfrom California's 3rd districtIn officeMarch 4, 1913<U+00A0><U+0096> October 10, 1930Preceded byJoseph R. KnowlandSucceeded byCharles F. Curry, Jr.Secretary of State of CaliforniaIn office1899<U+0096>1911GovernorHenry GageGeorge PardeeJames GillettPreceded byLewis H. BrownSucceeded byFrank C. JordanMember of the California State AssemblyIn office1887-1888",0,"Born(1858-03-14)March 14, 1858Naperville, IllinoisDiedOctober 10, 1930(1930-10-10) (aged<U+00A0>72)Washington, D.C.Political partyRepublican"
"3037","John I. Nolan","John I. Nolan",NA,NA,NA,"John I. NolanMember of the U.S. House of Representativesfrom California's 5th districtIn officeMarch 4, 1913<U+00A0><U+0096> November 18, 1922Preceded byEveris A. HayesSucceeded byMae E. Nolan",NA,NA
"3038","James H. MacLafferty","James H. MacLafferty","1871-02-27"," 1937-06-09",NA,"James Henry MaclaffertyMember of the U.S. House of Representativesfrom California's 6th districtIn officeNovember 7, 1922<U+00A0><U+0096> March 3, 1925Preceded byJohn A. ElstonSucceeded byAlbert E. Carter",0,"Born(1871-02-27)February 27, 1871San Diego, CaliforniaDiedJune 9, 1937(1937-06-09) (aged<U+00A0>66)Oakland, CaliforniaPolitical partyRepublican Party"
"3039","Henry E. Barbour","Henry E. Barbour","harater0",NA,"68","Henry Ellsworth BarbourMember of the U.S. House of Representatives from California's 7th congressional districtIn officeMarch 4, 1919 - March 3, 1933Preceded byDenver S. ChurchSucceeded byRalph R. Eltse",0,"BornMarch 8, 1877Ogdensburg, New YorkDiedMarch 21, 1945 (aged 68)Fresno, CaliforniaAlma materUnion College(B.D.); George Washington University(J.D.)"
"3040","Arthur M. Free","Arthur M. Free","harater0",NA,NA,"Arthur M. FreeMember of the United States House of Representatives from California's 8th congressional districtIn officeMarch 4th, 1921<U+00A0><U+0096> March 3rd, 1933",0,"BornJanuary 15th, 1879San Jose, CaliforniaDiedApril 1st, 1953San Jose, CaliforniaResting placeOak Hill Memorial ParkSpouse(s)Mabel FreeAlma materStanford University"
"3041","Lawrence J. Flaherty","Lawrence J. Flaherty","1878-07-04"," 1926-06-13",NA,"Lawrence James FlahertyMember of the U.S. House of Representativesfrom California's 5th districtIn officeMarch 4, 1925<U+00A0><U+0096> June 13, 1926Preceded byMae E. NolanSucceeded byRichard J. Welch",0,"Born(1878-07-04)July 4, 1878San Mateo, California, U.S.DiedJune 13, 1926(1926-06-13) (aged<U+00A0>47)New York City, New York, U.S.Political partyRepublican"
"3042","Albert E. Carter","Albert E. Carter","1881-07-05"," 1964-08-08",NA,"Albert CarterMember of the U.S. House of Representativesfrom California's 6th districtIn officeMarch 4, 1925<U+00A0><U+0096> January 3, 1945Preceded byJames H. MacLaffertySucceeded byGeorge P. Miller",0,"Born(1881-07-05)July 5, 1881Lemon Cove, CaliforniaDiedAugust 8, 1964(1964-08-08) (aged<U+00A0>83)Oakland, CaliforniaPolitical partyRepublican Party"
"3043","John D. Fredericks","John D. Fredericks","1869-09-10"," 1945-08-26",NA,"John D. FredericksMember of the U.S. House of Representativesfrom California's 10th districtIn officeMay 1, 1923<U+00A0><U+0096> March 3, 1927Preceded byHenry Z. OsborneSucceeded byJoe Crail",0,"BornJohn D. Fredericks(1869-09-10)September 10, 1869Burgettstown, PennsylvaniaDiedAugust 26, 1945(1945-08-26) (aged<U+00A0>75)Los Angeles, CaliforniaPolitical partyRepublican"
"3044","Harry Lane Englebright","Harry L. Englebright","1884-01-02"," 1943-05-13",NA,"Harry Lane EnglebrightMember of the U.S. House of Representativesfrom California's 2nd districtIn officeAugust 31, 1926<U+00A0><U+0096> May 13, 1943Preceded byJohn E. RakerSucceeded byClair Engle",0,"BornHarry Lane Englebright(1884-01-02)January 2, 1884Nevada City, CaliforniaDiedMay 13, 1943(1943-05-13) (aged<U+00A0>59)Bethesda, MarylandPolitical partyRepublicanParentsWilliam F. EnglebrightAlma materUniversity of California, BerkeleyOccupationPolitician, Mining engineer"
"3045","Florence Prag Kahn","Florence Prag Kahn","1866-11-09"," 1948-11-16",NA,"Florence Prag KahnMember of the U.S. House of Representativesfrom California's 4th districtIn officeMarch 4, 1925<U+00A0><U+0096> January 3, 1937Preceded byJulius KahnSucceeded byFranck R. Havenner",0,"BornFlorence Prag(1866-11-09)November 9, 1866Salt Lake City, UtahDiedNovember 16, 1948(1948-11-16) (aged<U+00A0>82)San Francisco, CaliforniaPolitical partyRepublican PartySpouse(s)Julius KahnAlma materUniversity of California, Berkeley"
"3046","William E. Evans","William E. Evans","1877-12-14"," 1959-11-12",NA,"William Elmer EvansMember of the U.S. House of Representativesfrom California's 11th districtIn officeMarch 4, 1933 <U+0096> January 3, 1935Preceded byPhilip D. SwingSucceeded byJohn S. McGroartyMember of the U.S. House of Representativesfrom California's 9th districtIn officeMarch 4, 1927 <U+0096> March 3, 1933Preceded byWalter F. LinebergerSucceeded byDenver S. Church",0,"Born(1877-12-14)December 14, 1877Laurel County, KentuckyDiedNovember 12, 1959(1959-11-12) (aged<U+00A0>81)Los Angeles, CaliforniaPolitical partyRepublicanProfessionPolitician, Attorney, Real estate, Banking"
"3047","Joe Crail","Joe Crail","1938-03-02",NA,NA,"Joe CrailMember of the U.S. House of Representatives from California's 10th congressional districtIn officeMarch 4, 1927 - March 3, 1933",0,"BornDecember 25, 1877Fairfield, IowaDiedMarch 2, 1938(1938-03-02) (aged<U+00A0>60)Los Angeles, CaliforniaAlma materDrake University"
"3048","Frank H. Buck","Frank H. Buck","1942-09-17",NA,NA,"Frank H. BuckMember of the U.S. House of Representativesfrom California's 3rd districtIn officeMarch 4, 1933<U+00A0><U+0096> September 17, 1942Preceded byCharles F. Curry, Jr.Succeeded byJustin L. Johnson",0,"BornSeptember 23, 1887Vacaville, CaliforniaDiedSeptember 17, 1942(1942-09-17) (aged<U+00A0>54)Washington, D.C.Political partyDemocraticSpouse(s)Zayda ZabriskieEva M. BensonChildren4"
"3049","John H. Hoeppel","John H. Hoeppel","1881-02-10"," 1976-09-21",NA,"John Henry HoeppelMember of the U.S. House of Representativesfrom California's 12th districtIn officeMarch 4, 1933<U+00A0><U+0096> January 3, 1937Preceded byDistrict createdSucceeded byJerry Voorhis",0,"Born(1881-02-10)February 10, 1881Tell City, Indiana, U.S.DiedSeptember 21, 1976(1976-09-21) (aged<U+00A0>95)Arcadia, California, U.S.Resting placeResurrection Cemetery, San Gabriel, California, U.S.Political partyDemocratic"
"3050","William I. Traeger","William I. Traeger","1880-02-26"," 1935-01-20",NA,"William I. TraegerTraeger as Los Angeles County Sheriff in 1922Member of the U.S. House of Representativesfrom California's 15th districtIn officeMarch 4, 1933<U+00A0><U+0096> January 3, 1935Preceded byNone (New district)Succeeded byJohn M. CostelloLos Angeles County SheriffIn office1921<U+0096>1932Preceded byJohn C. ClineSucceeded byEugene W. Biscailuz",0,"Born(1880-02-26)February 26, 1880Porterville, CaliforniaDiedJanuary 20, 1935(1935-01-20) (aged<U+00A0>54)Los Angeles, CaliforniaPolitical partyRepublicanAlma materStanford University"
"3051","Charles J. Colden","Charles J. Colden",NA,NA,NA,"Charles J. ColdenBorn(1870-08-24)August 24, 1870DiedApril 15, 1938(1938-04-15) (aged<U+00A0>67)CaliforniaOccupationPolitician",NA,NA
"3052","John H. Burke","John H. Burke","1894-06-02"," 1951-05-14",NA,"John H. BurkeMember of the U.S. House of Representativesfrom California's 18th districtIn officeMarch 4, 1933 <U+0096> January 3, 1935Preceded byDistrict createdSucceeded byByron N. Scott",0,"Born(1894-06-02)June 2, 1894Excelsior, WisconsinDiedMay 14, 1951(1951-05-14) (aged<U+00A0>56)Long Beach, CaliforniaPolitical partyDemocratic"
"3053","Bertrand W. Gearhart","Bertrand W. Gearhart","1890-05-31"," 1955-10-11",NA,"Bertrand W. GearhartFrom 1942 campaign ad which appeared in the Fresno Bee and other newspapersMember of the U.S. House of Representativesfrom California's 9th districtIn officeJanuary 3, 1935 <U+0096> January 3, 1949Preceded byDenver S. ChurchSucceeded byCecil F. White",0,"Born(1890-05-31)May 31, 1890Fresno, CaliforniaDiedOctober 11, 1955(1955-10-11) (aged<U+00A0>65)San Francisco, CaliforniaPolitical partyRepublican"
"3054","John S. McGroarty","John S. McGroarty","1944-08-07",NA,NA,"John Steven McGroartyJohn S. McGroarty in 1893Member of the U.S. House of Representativesfrom California's 11th districtIn officeJanuary 3, 1935<U+00A0><U+0096> January 3, 1939Preceded byWilliam E. EvansSucceeded byJohn Carl Hinshaw",0,"BornAugust 20, 1862Luzerne County, Pennsylvania<U+00A0>United StatesDiedAugust 7, 1944(1944-08-07) (aged<U+00A0>81)Los Angeles, CaliforniaPolitical partyDemocraticProfessionPolitician, Journalist, Author, Poet"
"3055","Jerry Voorhis","Jerry Voorhis","1984-09-11",NA,NA,"Jerry VoorhisMember of the U.S. House of Representativesfrom California's 12th districtIn officeJanuary 3, 1937<U+00A0><U+0096> January 3, 1947Preceded byJohn H. HoeppelSucceeded byRichard Nixon",0,"BornHorace Jeremiah VoorhisApril 6, 1901Ottawa, KansasDiedSeptember 11, 1984(1984-09-11) (aged<U+00A0>83)Claremont, CaliforniaPolitical partyDemocraticSpouse(s)Alice Louise LivingstonAlma mater
Yale University
Claremont CollegeSignature"
"3056","Byron N. Scott","Byron N. Scott","1903-03-21"," 1991-12-21",NA,"Byron N. ScottMember of the U.S. House of Representativesfrom California's 18th districtIn officeJanuary 3, 1935 <U+0096> January 3, 1939Preceded byJohn H. BurkeSucceeded byThomas M. Eaton",0,"Born(1903-03-21)March 21, 1903Council Grove, KansasDiedDecember 21, 1991(1991-12-21) (aged<U+00A0>88)Sun City, CaliforniaPolitical partyDemocratic"
"3057","Harry R. Sheppard","Harry R. Sheppard","1885-01-10"," 1969-04-28",NA,"Harry Richard SheppardMember of theU.S. House of Representativesfrom CaliforniaIn officeJanuary 3, 1937<U+00A0><U+0096> January 3, 1965Preceded bySam L. Collins (19th)Succeeded byChester E. Holifield (19th)Edgar W. Hiestand (21st)Everett G. Burkhalter (27th)Kenneth W. Dyal (33rd)Constituency19th district (1937<U+0096>43)21st district (1943<U+0096>53)27th district (1953<U+0096>63)33rd district (1963<U+0096>65)",0,"Born(1885-01-10)January 10, 1885Mobile, AlabamaDiedApril 28, 1969(1969-04-28) (aged<U+00A0>84)Washington, D.C.Political partyDemocratic Party"
"3058","Edouard Izac","Edouard Izac","1891-12-18"," 1990-01-18",NA,"Edouard IzacMember of theU.S. House of Representativesfrom CaliforniaIn officeJanuary 3, 1937<U+00A0><U+0096> January 3, 1947Preceded byGeorge Burnham (20th)Succeeded byJohn Carl Hinshaw (20th)Charles K. Fletcher (23rd)Constituency20th district (1937<U+0096>43)23rd district (1943<U+0096>47)",1,"BornEdouard Victor Michel Izac(1891-12-18)December 18, 1891Cresco, IowaDiedJanuary 18, 1990(1990-01-18) (aged<U+00A0>98)Fairfax, VirginiaAwards
 Medal of Honor
 Croce di Guerra al Merito (Italy)
Cross of MontenegroMilitary serviceAllegiance<U+00A0>United States of AmericaBranch/service<U+00A0>United States NavyYears<U+00A0>of service1915<U+0096>1921Rank Lieutenant CommanderBattles/warsWorld War I"
"3059","Jack Z. Anderson","Jack Z. Anderson","1904-03-22"," 1981-02-09",NA,"John Zuinglius AndersonMember of the U.S. House of Representativesfrom California's 8th districtIn officeJanuary 3, 1939<U+00A0><U+0096> January 3, 1953Preceded byJohn J. McGrathSucceeded byGeorge Paul Miller",0,"Born(1904-03-22)March 22, 1904Oakland, CaliforniaDiedFebruary 9, 1981(1981-02-09) (aged<U+00A0>76)Hollister, CaliforniaPolitical partyRepublican Party"
"3060","John Carl Hinshaw","Carl Hinshaw","1894-07-28"," 1956-08-05",NA,"John Carl HinshawMember of theU.S. House of Representativesfrom CaliforniaIn officeJanuary 3, 1939<U+00A0><U+0096> August 5, 1956Preceded byJohn S. McGroarty (11th)Edouard Izac (20th)Succeeded byGeorge E. Outland (11th)H. Allen Smith (20th)Constituency11th district (1939<U+0096>1943)20th district (1943<U+0096>1956)",0,"Born(1894-07-28)July 28, 1894Chicago, IllinoisDiedAugust 5, 1956(1956-08-05) (aged<U+00A0>62)Bethesda, MarylandResting placeRock Creek CemeteryPolitical partyRepublicanAlma materB.A. Princeton University, 1916"
"3061","Thomas M. Eaton","Thomas M. Eaton","1896-08-03"," 1939-09-16",NA,"Thomas M. EatonMember of the U.S. House of Representativesfrom California's 18th districtIn officeJanuary 3, 1939<U+00A0><U+0096> September 16, 1939Preceded byByron N. ScottSucceeded byWilliam Ward Johnson",0,"Born(1896-08-03)August 3, 1896near Edwardsville, IllinoisDiedSeptember 16, 1939(1939-09-16) (aged<U+00A0>43)Long Beach, CaliforniaPolitical partyRepublicanResidenceLong BeachProfessionAutomobile sales"
"3062","William Ward Johnson","William Ward Johnson","1892-03-09"," 1963-06-08",NA,"William Ward JohnsonMember of the U.S. House of Representativesfrom California's 18th districtIn officeJanuary 3, 1941<U+00A0><U+0096> January 3, 1945Preceded byThomas M. EatonSucceeded byClyde Doyle",0,"Born(1892-03-09)March 9, 1892Brighton, IowaDiedJune 8, 1963(1963-06-08) (aged<U+00A0>71)Long Beach, CaliforniaResting placeForest Lawn Memorial Park (Long Beach)Political partyRepublicanSpouse(s)Grace Rebecca SongerChildrenGeorge Robert Johnson, Mary Jean Johnson, Walter Franklin JohnsonResidenceLong BeachProfessionBanker, Attorney"
"3063","Cecil R. King","Cecil R. King","1898-01-13"," 1974-03-17",NA,"Cecil R. KingMember of the U.S. House of Representativesfrom California's 17th districtIn officeAugust 25, 1942<U+00A0><U+0096> January 3, 1969Preceded byLee E. GeyerSucceeded byGlenn M. AndersonMember of the California State AssemblyIn office1933<U+0096>19351937<U+0096>1942",0,"Born(1898-01-13)January 13, 1898Fort Niagara, New YorkDiedMarch 17, 1974(1974-03-17) (aged<U+00A0>76)Inglewood, CaliforniaPolitical partyDemocratic"
"3064","J. Leroy Johnson","J. Leroy Johnson","1961-03-26",NA,NA,"Justin Leroy JohnsonMember of the U.S. House of Representativesfrom California's 11th districtIn officeJanuary 3, 1953<U+00A0><U+0096> January 3, 1957Preceded byErnest K. BramblettSucceeded byJohn J. McFallMember of the U.S. House of Representativesfrom California's 3rd districtIn officeJanuary 3, 1943<U+00A0><U+0096> January 3, 1953Preceded byFrank H. BuckSucceeded byJohn E. Moss",0,"BornApril 8, 1888Wausau, WisconsinDiedMarch 26, 1961(1961-03-26) (aged<U+00A0>72)Stockton, CaliforniaPolitical partyRepublicanProfessionPolitician"
"3065","George E. Outland","George E. Outland","harater0",NA,"74","George Elmer OutlandMember of the U.S. House of Representativesfrom California's 11th districtIn officeJanuary 3, 1943 - January 3, 1947Preceded byJohn Carl HinshawSucceeded byErnest K. Bramblett",0,"BornOctober 8, 1906Ventura County, California<U+00A0>United StatesDiedMarch 2, 1981 (age 74)Anacortes, WashingtonPolitical partyDemocraticProfessionPolitician"
"3066","Norris Poulson","Norris Poulson","1895-07-23"," 1982-09-25",NA,"C. Norris Poulson36th Mayor of Los AngelesIn officeJuly 1, 1953<U+00A0><U+0096> July 1, 1961Preceded byFletcher BowronSucceeded bySam YortyMember of theU.S. House of Representativesfrom CaliforniaIn officeJanuary 3, 1943<U+00A0><U+0096> January 3, 1945Preceded byCharles KramerSucceeded byNed R. HealyConstituency13th districtIn officeJanuary 3, 1947<U+00A0><U+0096> June 11, 1953Preceded byNed R. Healy (13th)Succeeded byErnest K. Bramblett (13th)Glenard P. Lipscomb (24th)Constituency13th district (1947<U+0096>53)24th district (1953)Member of the California State Assembly from the 56th districtIn office1939<U+0096>1943Succeeded byErnest E. Debs",0,"BornCharles Norris Poulson(1895-07-23)July 23, 1895Baker County, Oregon, U.S.DiedSeptember 25, 1982(1982-09-25) (aged<U+00A0>87)La Jolla, California, U.S.Political partyRepublicanSpouse(s)Erna J. Loennig(m.<U+00A0>1916; died<U+00A0>1981)ResidenceLos Angeles, California, U.S."
"3067","Will Rogers Jr.","Will Rogers, Jr.","1911-10-20"," 1993-07-09",NA,"Will RogersMember of the U.S. House of Representativesfrom California's 16th districtIn officeJanuary 3, 1943<U+00A0><U+0096> May 23, 1944Preceded byLeland M. FordSucceeded byEllis E. Patterson",1,"BornWilliam Vann Rogers(1911-10-20)October 20, 1911New York City, New York, U.S.DiedJuly 9, 1993(1993-07-09) (aged<U+00A0>81)Tubac, Arizona, U.S.Political partyDemocraticSpouse(s)Collier Connell (m. 1941)Children2RelativesWill Rogers (Father)EducationStanford University (BA)Military serviceAllegiance<U+00A0>United StatesBranch/service<U+00A0>United States ArmyYears<U+00A0>of service1942<U+0096>1946Unit893rd Tank Destroyer Battalion814th Tank Destroyer BattalionBattles/warsWorld War IIAwards Bronze Star"
"3068","John R. Phillips (American politician)","John J. Phillips","1887-09-11"," 1983-12-18",NA,"John PhillipsMember of theU.S. House of Representativesfrom CaliforniaIn officeJanuary 3, 1943<U+00A0><U+0096> January 3, 1957Preceded by22nd district created in 194329th district created in 1953Succeeded byJoseph F. Holt (22nd)Dalip Singh Saund (29th)Constituency22nd district (1943<U+0096>53)29th district (1953<U+0096>57)Member of the California Senatefrom the 37th districtIn office1936<U+0096>1942Preceded byLeonard DifaniSucceeded byNelson S. DilworthMember of the California State AssemblyIn office1932<U+0096>1936City council member of Banning, CaliforniaIn office1930<U+0096>1932",0,"Born(1887-09-11)September 11, 1887Wilkes-Barre, Pennsylvania, U.S.DiedDecember 18, 1983(1983-12-18) (aged<U+00A0>96)Palm Springs, California, U.S.Resting placeDesert Memorial ParkPolitical partyRepublicanAlma materHaverford College"
"3069","Clair Engle","Clair Engle","1911-09-21"," 1964-07-30",NA,"Clair EngleUnited States Senatorfrom CaliforniaIn officeJanuary 3, 1959<U+00A0><U+0096> July 30, 1964Preceded byWilliam KnowlandSucceeded byPierre SalingerMember of the U.S. House of Representativesfrom California's 2nd districtIn officeAugust 31, 1943<U+00A0><U+0096> January 3, 1959Preceded byHarry L. EnglebrightSucceeded byHarold T. JohnsonMember of the California SenateIn office1936",0,"Born(1911-09-21)September 21, 1911Bakersfield, CaliforniaDiedJuly 30, 1964(1964-07-30) (aged<U+00A0>52)Washington, D.C., United StatesResting placeOak Hill Cemetery, Red Bluff, CaliforniaNationalityAmericanPolitical partyDemocraticAlma materCalifornia State University-ChicoUniversity of California Hastings College of the Law"
